"BehaviorSpace results (NetLogo 6.2.1)"
"Combined 4.1.nlogo"
"experiment"
"01/18/2022 16:27:47:328 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","Technology","Separation-at-home","nmbr-weeks-pickup-pmd","general-regionbin-size","number-of-households","nmbr-weeks-pickup-gen","pmd-regionbin-size","[step]","recycle-ratio"
"4","Basic","true","2","350","26","2","275","33","0.34201383013992837"
"2","Basic","true","2","250","26","2","275","33","0.3604856311327378"
"1","Basic","true","2","200","26","2","275","15","0.33312235732641976"
"4","Basic","true","2","350","26","2","275","34","0.3372308280992433"
"2","Basic","true","2","250","26","2","275","34","0.3211825198275486"
"4","Basic","true","2","350","26","2","275","35","0.3372308280992433"
"2","Basic","true","2","250","26","2","275","35","0.3211825198275486"
"4","Basic","true","2","350","26","2","275","36","0.4159446230550295"
"2","Basic","true","2","250","26","2","275","36","0.32890545661300713"
"4","Basic","true","2","350","26","2","275","37","0.4159446230550295"
"2","Basic","true","2","250","26","2","275","37","0.32890545661300713"
"1","Basic","true","2","200","26","2","275","16","0.342539680416951"
"2","Basic","true","2","250","26","2","275","38","0.3805916706425909"
"4","Basic","true","2","350","26","2","275","38","0.33516270505658136"
"4","Basic","true","2","350","26","2","275","39","0.33516270505658136"
"2","Basic","true","2","250","26","2","275","39","0.3805916706425909"
"4","Basic","true","2","350","26","2","275","40","0.27500534554975736"
"2","Basic","true","2","250","26","2","275","40","0.371494859531538"
"2","Basic","true","2","250","26","2","275","41","0.371494859531538"
"4","Basic","true","2","350","26","2","275","41","0.27500534554975736"
"1","Basic","true","2","200","26","2","275","17","0.342539680416951"
"4","Basic","true","2","350","26","2","275","42","0.28678237995133715"
"3","Basic","true","2","300","26","2","275","26","0.4497446471314168"
"2","Basic","true","2","250","26","2","275","42","0.3709774382231064"
"4","Basic","true","2","350","26","2","275","43","0.28678237995133715"
"3","Basic","true","2","300","26","2","275","27","0.4497446471314168"
"4","Basic","true","2","350","26","2","275","44","0.26966656339162554"
"2","Basic","true","2","250","26","2","275","43","0.3709774382231064"
"4","Basic","true","2","350","26","2","275","45","0.26966656339162554"
"1","Basic","true","2","200","26","2","275","18","0.4336937078162782"
"3","Basic","true","2","300","26","2","275","28","0.4497446471314168"
"2","Basic","true","2","250","26","2","275","44","0.3709774382231064"
"4","Basic","true","2","350","26","2","275","46","0.35843076488317305"
"2","Basic","true","2","250","26","2","275","45","0.3709774382231064"
"3","Basic","true","2","300","26","2","275","29","0.4497446471314168"
"1","Basic","true","2","200","26","2","275","19","0.4336937078162782"
"2","Basic","true","2","250","26","2","275","46","0.31176935033199554"
"4","Basic","true","2","350","26","2","275","47","0.35843076488317305"
"2","Basic","true","2","250","26","2","275","47","0.31176935033199554"
"4","Basic","true","2","350","26","2","275","48","0.3415450225421519"
"4","Basic","true","2","350","26","2","275","49","0.3415450225421519"
"3","Basic","true","2","300","26","2","275","30","0.32358271084328477"
"2","Basic","true","2","250","26","2","275","48","0.31176935033199554"
"3","Basic","true","2","300","26","2","275","31","0.32358271084328477"
"4","Basic","true","2","350","26","2","275","50","0.31983981821041946"
"2","Basic","true","2","250","26","2","275","49","0.31176935033199554"
"4","Basic","true","2","350","26","2","275","51","0.31983981821041946"
"3","Basic","true","2","300","26","2","275","32","0.3240289151622787"
"2","Basic","true","2","250","26","2","275","50","0.376371369095649"
"4","Basic","true","2","350","26","2","275","52","0.30312123925208606"
"4","Basic","true","2","350","26","2","275","53","0.30312123925208606"
"2","Basic","true","2","250","26","2","275","51","0.376371369095649"
"4","Basic","true","2","350","26","2","275","54","0.31167902038239115"
"2","Basic","true","2","250","26","2","275","52","0.3183656948134447"
"4","Basic","true","2","350","26","2","275","55","0.31167902038239115"
"2","Basic","true","2","250","26","2","275","53","0.3183656948134447"
"4","Basic","true","2","350","26","2","275","56","0.3269622468964331"
"2","Basic","true","2","250","26","2","275","54","0.3745617471460523"
"4","Basic","true","2","350","26","2","275","57","0.3269622468964331"
"2","Basic","true","2","250","26","2","275","55","0.3745617471460523"
"4","Basic","true","2","350","26","2","275","58","0.37936883037074287"
